"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","11","Movement Zone 11","9/2/2019 - 9/2/2019, Every day, Daily Average",4008,3042,5279
"4946","Movement Zone 4946","12","Movement Zone 12","9/2/2019 - 9/2/2019, Every day, Daily Average",1649,1157,2349
"4946","Movement Zone 4946","13","Movement Zone 13","9/2/2019 - 9/2/2019, Every day, Daily Average",1616,1135,2300
"4946","Movement Zone 4946","17","Movement Zone 17","9/2/2019 - 9/2/2019, Every day, Daily Average",1309,896,1911
"4946","Movement Zone 4946","19","Movement Zone 19","9/2/2019 - 9/2/2019, Every day, Daily Average",2085,1539,2823
"4946","Movement Zone 4946","22","Movement Zone 22","9/2/2019 - 9/2/2019, Every day, Daily Average",1533,1005,2337
"4946","Movement Zone 4946","24","Movement Zone 24","9/2/2019 - 9/2/2019, Every day, Daily Average",945,587,1520
"4946","Movement Zone 4946","26","Movement Zone 26","9/2/2019 - 9/2/2019, Every day, Daily Average",2459,2067,2925
"4946","Movement Zone 4946","31","Movement Zone 31","9/2/2019 - 9/2/2019, Every day, Daily Average",2499,2041,3059
"4946","Movement Zone 4946","33","Movement Zone 33","9/2/2019 - 9/2/2019, Every day, Daily Average",2136,1780,2563
"4946","Movement Zone 4946","39","Movement Zone 39","9/2/2019 - 9/2/2019, Every day, Daily Average",3113,2494,3884
"4946","Movement Zone 4946","40","Movement Zone 40","9/2/2019 - 9/2/2019, Every day, Daily Average",3858,2895,5140
"4946","Movement Zone 4946","42","Movement Zone 42","9/2/2019 - 9/2/2019, Every day, Daily Average",3576,2636,4850
"4946","Movement Zone 4946","54","Movement Zone 54","9/2/2019 - 9/2/2019, Every day, Daily Average",2578,2092,3175
"4946","Movement Zone 4946","55","Movement Zone 55","9/2/2019 - 9/2/2019, Every day, Daily Average",3152,2656,3740
"4946","Movement Zone 4946","57","Movement Zone 57","9/2/2019 - 9/2/2019, Every day, Daily Average",2633,2364,2932
"4946","Movement Zone 4946","59","Movement Zone 59","9/2/2019 - 9/2/2019, Every day, Daily Average",2493,2236,2778
"4946","Movement Zone 4946","65","Movement Zone 65","9/2/2019 - 9/2/2019, Every day, Daily Average",1768,1446,2160
"4946","Movement Zone 4946","68","Movement Zone 68","9/2/2019 - 9/2/2019, Every day, Daily Average",1664,1353,2045
"4946","Movement Zone 4946","70","Movement Zone 70","9/2/2019 - 9/2/2019, Every day, Daily Average",3426,2699,4347
"4946","Movement Zone 4946","71","Movement Zone 71","9/2/2019 - 9/2/2019, Every day, Daily Average",2715,2167,3401
"4946","Movement Zone 4946","75","Movement Zone 75","9/2/2019 - 9/2/2019, Every day, Daily Average",2982,2333,3811
"4946","Movement Zone 4946","76","Movement Zone 76","9/2/2019 - 9/2/2019, Every day, Daily Average",2753,1919,3949
"4946","Movement Zone 4946","79","Movement Zone 79","9/2/2019 - 9/2/2019, Every day, Daily Average",3025,2397,3816
"4946","Movement Zone 4946","83","Movement Zone 83","9/2/2019 - 9/2/2019, Every day, Daily Average",1979,1510,2593
"4946","Movement Zone 4946","86","Movement Zone 86","9/2/2019 - 9/2/2019, Every day, Daily Average",2362,1901,2934
"4946","Movement Zone 4946","93","Movement Zone 93","9/2/2019 - 9/2/2019, Every day, Daily Average",2173,1710,2760
"4946","Movement Zone 4946","96","Movement Zone 96","9/2/2019 - 9/2/2019, Every day, Daily Average",1899,1442,2499
"4946","Movement Zone 4946","97","Movement Zone 97","9/2/2019 - 9/2/2019, Every day, Daily Average",1781,1303,2433
"4946","Movement Zone 4946","99","Movement Zone 99","9/2/2019 - 9/2/2019, Every day, Daily Average",1919,1439,2558
"4946","Movement Zone 4946","102","Movement Zone 102","9/2/2019 - 9/2/2019, Every day, Daily Average",2178,1863,2545
"4946","Movement Zone 4946","103","Movement Zone 103","9/2/2019 - 9/2/2019, Every day, Daily Average",2095,1676,2618
"4946","Movement Zone 4946","105","Movement Zone 105","9/2/2019 - 9/2/2019, Every day, Daily Average",2346,1837,2995
"4946","Movement Zone 4946","108","Movement Zone 108","9/2/2019 - 9/2/2019, Every day, Daily Average",2065,1593,2676
"4946","Movement Zone 4946","114","Movement Zone 114","9/2/2019 - 9/2/2019, Every day, Daily Average",2715,2325,3169
"4946","Movement Zone 4946","120","Movement Zone 120","9/2/2019 - 9/2/2019, Every day, Daily Average",2443,1912,3120
"4946","Movement Zone 4946","121","Movement Zone 121","9/2/2019 - 9/2/2019, Every day, Daily Average",2244,1756,2866
"4946","Movement Zone 4946","130","Movement Zone 130","9/2/2019 - 9/2/2019, Every day, Daily Average",2077,1632,2642
"4946","Movement Zone 4946","132","Movement Zone 132","9/2/2019 - 9/2/2019, Every day, Daily Average",2105,1599,2770
"4946","Movement Zone 4946","133","Movement Zone 133","9/2/2019 - 9/2/2019, Every day, Daily Average",2239,1742,2877
"4946","Movement Zone 4946","142","Movement Zone 142","9/2/2019 - 9/2/2019, Every day, Daily Average",2447,2077,2881
"4946","Movement Zone 4946","145","Movement Zone 145","9/2/2019 - 9/2/2019, Every day, Daily Average",2261,1764,2897
"4946","Movement Zone 4946","169","Movement Zone 169","9/2/2019 - 9/2/2019, Every day, Daily Average",2307,1884,2823
"4946","Movement Zone 4946","174","Movement Zone 174","9/2/2019 - 9/2/2019, Every day, Daily Average",2354,1926,2875
"4946","Movement Zone 4946","190","Movement Zone 190","9/2/2019 - 9/2/2019, Every day, Daily Average",2921,2233,3820
"4946","Movement Zone 4946","191","Movement Zone 191","9/2/2019 - 9/2/2019, Every day, Daily Average",2783,2222,3485
"4946","Movement Zone 4946","196","Movement Zone 196","9/2/2019 - 9/2/2019, Every day, Daily Average",3643,2825,4696
"4946","Movement Zone 4946","198","Movement Zone 198","9/2/2019 - 9/2/2019, Every day, Daily Average",4033,3032,5362
"4946","Movement Zone 4946","201","Movement Zone 201","9/2/2019 - 9/2/2019, Every day, Daily Average",2824,2143,3720
"4946","Movement Zone 4946","202","Movement Zone 202","9/2/2019 - 9/2/2019, Every day, Daily Average",3075,2362,4002
"4946","Movement Zone 4946","203","Movement Zone 203","9/2/2019 - 9/2/2019, Every day, Daily Average",2551,1902,3420
"4946","Movement Zone 4946","204","Movement Zone 204","9/2/2019 - 9/2/2019, Every day, Daily Average",3251,2488,4247
"4946","Movement Zone 4946","205","Movement Zone 205","9/2/2019 - 9/2/2019, Every day, Daily Average",3312,2430,4512
"4946","Movement Zone 4946","207","Movement Zone 207","9/2/2019 - 9/2/2019, Every day, Daily Average",2908,2227,3797
"4946","Movement Zone 4946","209","Movement Zone 209","9/2/2019 - 9/2/2019, Every day, Daily Average",2982,2224,3997
"4946","Movement Zone 4946","210","Movement Zone 210","9/2/2019 - 9/2/2019, Every day, Daily Average",3119,2476,3927
"4946","Movement Zone 4946","211","Movement Zone 211","9/2/2019 - 9/2/2019, Every day, Daily Average",2852,2297,3539
"4946","Movement Zone 4946","212","Movement Zone 212","9/2/2019 - 9/2/2019, Every day, Daily Average",2796,2121,3685
"4946","Movement Zone 4946","216","Movement Zone 216","9/2/2019 - 9/2/2019, Every day, Daily Average",3493,2736,4458
"4946","Movement Zone 4946","217","Movement Zone 217","9/2/2019 - 9/2/2019, Every day, Daily Average",3089,2360,4042
"4946","Movement Zone 4946","219","Movement Zone 219","9/2/2019 - 9/2/2019, Every day, Daily Average",3501,2912,4208
"4946","Movement Zone 4946","220","Movement Zone 220","9/2/2019 - 9/2/2019, Every day, Daily Average",2792,2223,3505
"4946","Movement Zone 4946","222","Movement Zone 222","9/2/2019 - 9/2/2019, Every day, Daily Average",3586,3057,4205
"4946","Movement Zone 4946","224","Movement Zone 224","9/2/2019 - 9/2/2019, Every day, Daily Average",3124,2430,4016
"4946","Movement Zone 4946","226","Movement Zone 226","9/2/2019 - 9/2/2019, Every day, Daily Average",3152,2454,4048
"4946","Movement Zone 4946","230","Movement Zone 230","9/2/2019 - 9/2/2019, Every day, Daily Average",4014,3500,4602
"4946","Movement Zone 4946","235","Movement Zone 235","9/2/2019 - 9/2/2019, Every day, Daily Average",2922,2138,3992
"4946","Movement Zone 4946","236","Movement Zone 236","9/2/2019 - 9/2/2019, Every day, Daily Average",2947,2251,3857
"4946","Movement Zone 4946","237","Movement Zone 237","9/2/2019 - 9/2/2019, Every day, Daily Average",2817,2147,3695
