"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","1","Movement Zone 1","9/1/2019 - 9/30/2019, Every day, Daily Average",4241,3317,5420
"4946","Movement Zone 4946","3","Movement Zone 3","9/1/2019 - 9/30/2019, Every day, Daily Average",3301,2367,4602
"4946","Movement Zone 4946","7","Movement Zone 7","9/1/2019 - 9/30/2019, Every day, Daily Average",3233,2573,4061
"4946","Movement Zone 4946","9","Movement Zone 9","9/1/2019 - 9/30/2019, Every day, Daily Average",4959,4001,6146
"4946","Movement Zone 4946","11","Movement Zone 11","9/1/2019 - 9/30/2019, Every day, Daily Average",4269,3243,5618
"4946","Movement Zone 4946","12","Movement Zone 12","9/1/2019 - 9/30/2019, Every day, Daily Average",1407,1077,1836
"4946","Movement Zone 4946","13","Movement Zone 13","9/1/2019 - 9/30/2019, Every day, Daily Average",1389,1052,1833
"4946","Movement Zone 4946","14","Movement Zone 14","9/1/2019 - 9/30/2019, Every day, Daily Average",2237,1797,2784
"4946","Movement Zone 4946","15","Movement Zone 15","9/1/2019 - 9/30/2019, Every day, Daily Average",3309,2479,4415
"4946","Movement Zone 4946","16","Movement Zone 16","9/1/2019 - 9/30/2019, Every day, Daily Average",3549,2493,5050
"4946","Movement Zone 4946","17","Movement Zone 17","9/1/2019 - 9/30/2019, Every day, Daily Average",1209,846,1726
"4946","Movement Zone 4946","18","Movement Zone 18","9/1/2019 - 9/30/2019, Every day, Daily Average",3277,2506,4284
"4946","Movement Zone 4946","19","Movement Zone 19","9/1/2019 - 9/30/2019, Every day, Daily Average",1986,1497,2632
"4946","Movement Zone 4946","22","Movement Zone 22","9/1/2019 - 9/30/2019, Every day, Daily Average",1455,956,2212
"4946","Movement Zone 4946","23","Movement Zone 23","9/1/2019 - 9/30/2019, Every day, Daily Average",2305,1841,2885
"4946","Movement Zone 4946","24","Movement Zone 24","9/1/2019 - 9/30/2019, Every day, Daily Average",832,509,1359
"4946","Movement Zone 4946","25","Movement Zone 25","9/1/2019 - 9/30/2019, Every day, Daily Average",2674,1848,3868
"4946","Movement Zone 4946","26","Movement Zone 26","9/1/2019 - 9/30/2019, Every day, Daily Average",2457,1947,3100
"4946","Movement Zone 4946","31","Movement Zone 31","9/1/2019 - 9/30/2019, Every day, Daily Average",2305,1819,2920
"4946","Movement Zone 4946","33","Movement Zone 33","9/1/2019 - 9/30/2019, Every day, Daily Average",1916,1467,2502
"4946","Movement Zone 4946","39","Movement Zone 39","9/1/2019 - 9/30/2019, Every day, Daily Average",3365,2592,4368
"4946","Movement Zone 4946","40","Movement Zone 40","9/1/2019 - 9/30/2019, Every day, Daily Average",4107,3086,5465
"4946","Movement Zone 4946","41","Movement Zone 41","9/1/2019 - 9/30/2019, Every day, Daily Average",3962,3226,4864
"4946","Movement Zone 4946","42","Movement Zone 42","9/1/2019 - 9/30/2019, Every day, Daily Average",3839,2817,5231
"4946","Movement Zone 4946","43","Movement Zone 43","9/1/2019 - 9/30/2019, Every day, Daily Average",3663,2907,4614
"4946","Movement Zone 4946","50","Movement Zone 50","9/1/2019 - 9/30/2019, Every day, Daily Average",3025,2329,3927
"4946","Movement Zone 4946","52","Movement Zone 52","9/1/2019 - 9/30/2019, Every day, Daily Average",4083,3317,5025
"4946","Movement Zone 4946","54","Movement Zone 54","9/1/2019 - 9/30/2019, Every day, Daily Average",2763,2069,3689
"4946","Movement Zone 4946","55","Movement Zone 55","9/1/2019 - 9/30/2019, Every day, Daily Average",3347,2621,4273
"4946","Movement Zone 4946","56","Movement Zone 56","9/1/2019 - 9/30/2019, Every day, Daily Average",3170,2497,4024
"4946","Movement Zone 4946","57","Movement Zone 57","9/1/2019 - 9/30/2019, Every day, Daily Average",3059,2452,3815
"4946","Movement Zone 4946","58","Movement Zone 58","9/1/2019 - 9/30/2019, Every day, Daily Average",3573,2875,4439
"4946","Movement Zone 4946","59","Movement Zone 59","9/1/2019 - 9/30/2019, Every day, Daily Average",2815,2295,3452
"4946","Movement Zone 4946","60","Movement Zone 60","9/1/2019 - 9/30/2019, Every day, Daily Average",2236,1704,2933
"4946","Movement Zone 4946","61","Movement Zone 61","9/1/2019 - 9/30/2019, Every day, Daily Average",3650,2934,4539
"4946","Movement Zone 4946","62","Movement Zone 62","9/1/2019 - 9/30/2019, Every day, Daily Average",3013,2245,4043
"4946","Movement Zone 4946","64","Movement Zone 64","9/1/2019 - 9/30/2019, Every day, Daily Average",1903,1535,2358
"4946","Movement Zone 4946","65","Movement Zone 65","9/1/2019 - 9/30/2019, Every day, Daily Average",1869,1420,2459
"4946","Movement Zone 4946","66","Movement Zone 66","9/1/2019 - 9/30/2019, Every day, Daily Average",2294,1840,2859
"4946","Movement Zone 4946","68","Movement Zone 68","9/1/2019 - 9/30/2019, Every day, Daily Average",1736,1351,2229
"4946","Movement Zone 4946","69","Movement Zone 69","9/1/2019 - 9/30/2019, Every day, Daily Average",3204,2463,4166
"4946","Movement Zone 4946","70","Movement Zone 70","9/1/2019 - 9/30/2019, Every day, Daily Average",3829,2887,5076
"4946","Movement Zone 4946","71","Movement Zone 71","9/1/2019 - 9/30/2019, Every day, Daily Average",2780,2211,3494
"4946","Movement Zone 4946","72","Movement Zone 72","9/1/2019 - 9/30/2019, Every day, Daily Average",4767,3582,6343
"4946","Movement Zone 4946","75","Movement Zone 75","9/1/2019 - 9/30/2019, Every day, Daily Average",2972,2210,3995
"4946","Movement Zone 4946","76","Movement Zone 76","9/1/2019 - 9/30/2019, Every day, Daily Average",2654,1996,3528
"4946","Movement Zone 4946","77","Movement Zone 77","9/1/2019 - 9/30/2019, Every day, Daily Average",2844,2218,3645
"4946","Movement Zone 4946","79","Movement Zone 79","9/1/2019 - 9/30/2019, Every day, Daily Average",3037,2327,3962
"4946","Movement Zone 4946","83","Movement Zone 83","9/1/2019 - 9/30/2019, Every day, Daily Average",2035,1461,2834
"4946","Movement Zone 4946","84","Movement Zone 84","9/1/2019 - 9/30/2019, Every day, Daily Average",2799,1697,4616
"4946","Movement Zone 4946","85","Movement Zone 85","9/1/2019 - 9/30/2019, Every day, Daily Average",2878,1738,4763
"4946","Movement Zone 4946","86","Movement Zone 86","9/1/2019 - 9/30/2019, Every day, Daily Average",2331,1778,3054
"4946","Movement Zone 4946","87","Movement Zone 87","9/1/2019 - 9/30/2019, Every day, Daily Average",2389,1837,3106
"4946","Movement Zone 4946","88","Movement Zone 88","9/1/2019 - 9/30/2019, Every day, Daily Average",2444,1890,3159
"4946","Movement Zone 4946","93","Movement Zone 93","9/1/2019 - 9/30/2019, Every day, Daily Average",2287,1652,3164
"4946","Movement Zone 4946","94","Movement Zone 94","9/1/2019 - 9/30/2019, Every day, Daily Average",3080,1751,5415
"4946","Movement Zone 4946","95","Movement Zone 95","9/1/2019 - 9/30/2019, Every day, Daily Average",2258,1708,2984
"4946","Movement Zone 4946","96","Movement Zone 96","9/1/2019 - 9/30/2019, Every day, Daily Average",1960,1389,2764
"4946","Movement Zone 4946","97","Movement Zone 97","9/1/2019 - 9/30/2019, Every day, Daily Average",1814,1274,2582
"4946","Movement Zone 4946","98","Movement Zone 98","9/1/2019 - 9/30/2019, Every day, Daily Average",2736,2021,3702
"4946","Movement Zone 4946","99","Movement Zone 99","9/1/2019 - 9/30/2019, Every day, Daily Average",1956,1384,2762
"4946","Movement Zone 4946","100","Movement Zone 100","9/1/2019 - 9/30/2019, Every day, Daily Average",2376,1811,3115
"4946","Movement Zone 4946","102","Movement Zone 102","9/1/2019 - 9/30/2019, Every day, Daily Average",2408,1877,3088
"4946","Movement Zone 4946","103","Movement Zone 103","9/1/2019 - 9/30/2019, Every day, Daily Average",2187,1620,2951
"4946","Movement Zone 4946","104","Movement Zone 104","9/1/2019 - 9/30/2019, Every day, Daily Average",2776,2241,3437
"4946","Movement Zone 4946","105","Movement Zone 105","9/1/2019 - 9/30/2019, Every day, Daily Average",2788,2073,3748
"4946","Movement Zone 4946","108","Movement Zone 108","9/1/2019 - 9/30/2019, Every day, Daily Average",2146,1563,2944
"4946","Movement Zone 4946","109","Movement Zone 109","9/1/2019 - 9/30/2019, Every day, Daily Average",2412,1793,3243
"4946","Movement Zone 4946","111","Movement Zone 111","9/1/2019 - 9/30/2019, Every day, Daily Average",2710,2128,3449
"4946","Movement Zone 4946","113","Movement Zone 113","9/1/2019 - 9/30/2019, Every day, Daily Average",3181,1706,5929
"4946","Movement Zone 4946","114","Movement Zone 114","9/1/2019 - 9/30/2019, Every day, Daily Average",2648,2130,3291
"4946","Movement Zone 4946","116","Movement Zone 116","9/1/2019 - 9/30/2019, Every day, Daily Average",2556,1934,3377
"4946","Movement Zone 4946","117","Movement Zone 117","9/1/2019 - 9/30/2019, Every day, Daily Average",2416,1835,3180
"4946","Movement Zone 4946","118","Movement Zone 118","9/1/2019 - 9/30/2019, Every day, Daily Average",2860,2282,3583
"4946","Movement Zone 4946","119","Movement Zone 119","9/1/2019 - 9/30/2019, Every day, Daily Average",2464,1850,3281
"4946","Movement Zone 4946","120","Movement Zone 120","9/1/2019 - 9/30/2019, Every day, Daily Average",2937,2175,3965
"4946","Movement Zone 4946","121","Movement Zone 121","9/1/2019 - 9/30/2019, Every day, Daily Average",2496,1887,3300
"4946","Movement Zone 4946","124","Movement Zone 124","9/1/2019 - 9/30/2019, Every day, Daily Average",2464,2041,2973
"4946","Movement Zone 4946","129","Movement Zone 129","9/1/2019 - 9/30/2019, Every day, Daily Average",2258,1730,2945
"4946","Movement Zone 4946","130","Movement Zone 130","9/1/2019 - 9/30/2019, Every day, Daily Average",2183,1572,3031
"4946","Movement Zone 4946","132","Movement Zone 132","9/1/2019 - 9/30/2019, Every day, Daily Average",2177,1584,2990
"4946","Movement Zone 4946","133","Movement Zone 133","9/1/2019 - 9/30/2019, Every day, Daily Average",2370,1732,3241
"4946","Movement Zone 4946","134","Movement Zone 134","9/1/2019 - 9/30/2019, Every day, Daily Average",2354,1770,3129
"4946","Movement Zone 4946","135","Movement Zone 135","9/1/2019 - 9/30/2019, Every day, Daily Average",2365,1777,3146
"4946","Movement Zone 4946","136","Movement Zone 136","9/1/2019 - 9/30/2019, Every day, Daily Average",2765,2092,3654
"4946","Movement Zone 4946","137","Movement Zone 137","9/1/2019 - 9/30/2019, Every day, Daily Average",2390,1765,3235
"4946","Movement Zone 4946","138","Movement Zone 138","9/1/2019 - 9/30/2019, Every day, Daily Average",2850,2134,3804
"4946","Movement Zone 4946","139","Movement Zone 139","9/1/2019 - 9/30/2019, Every day, Daily Average",2844,2076,3894
"4946","Movement Zone 4946","140","Movement Zone 140","9/1/2019 - 9/30/2019, Every day, Daily Average",2900,2080,4042
"4946","Movement Zone 4946","141","Movement Zone 141","9/1/2019 - 9/30/2019, Every day, Daily Average",2478,1822,3369
"4946","Movement Zone 4946","142","Movement Zone 142","9/1/2019 - 9/30/2019, Every day, Daily Average",2699,2034,3581
"4946","Movement Zone 4946","143","Movement Zone 143","9/1/2019 - 9/30/2019, Every day, Daily Average",2581,1986,3353
"4946","Movement Zone 4946","145","Movement Zone 145","9/1/2019 - 9/30/2019, Every day, Daily Average",2626,1981,3480
"4946","Movement Zone 4946","149","Movement Zone 149","9/1/2019 - 9/30/2019, Every day, Daily Average",2487,1924,3213
"4946","Movement Zone 4946","150","Movement Zone 150","9/1/2019 - 9/30/2019, Every day, Daily Average",2826,2110,3784
"4946","Movement Zone 4946","151","Movement Zone 151","9/1/2019 - 9/30/2019, Every day, Daily Average",3183,2291,4421
