"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","11","Movement Zone 11","9/1/2019 - 9/1/2019, Every day, Daily Average",3678,3054,4429
"4946","Movement Zone 4946","12","Movement Zone 12","9/1/2019 - 9/1/2019, Every day, Daily Average",1283,1086,1515
"4946","Movement Zone 4946","13","Movement Zone 13","9/1/2019 - 9/1/2019, Every day, Daily Average",1271,1069,1509
"4946","Movement Zone 4946","15","Movement Zone 15","9/1/2019 - 9/1/2019, Every day, Daily Average",2802,2503,3136
"4946","Movement Zone 4946","16","Movement Zone 16","9/1/2019 - 9/1/2019, Every day, Daily Average",2904,2238,3767
"4946","Movement Zone 4946","17","Movement Zone 17","9/1/2019 - 9/1/2019, Every day, Daily Average",999,792,1259
"4946","Movement Zone 4946","19","Movement Zone 19","9/1/2019 - 9/1/2019, Every day, Daily Average",1748,1469,2079
"4946","Movement Zone 4946","22","Movement Zone 22","9/1/2019 - 9/1/2019, Every day, Daily Average",1433,877,2340
"4946","Movement Zone 4946","24","Movement Zone 24","9/1/2019 - 9/1/2019, Every day, Daily Average",740,499,1096
"4946","Movement Zone 4946","26","Movement Zone 26","9/1/2019 - 9/1/2019, Every day, Daily Average",2208,2040,2388
"4946","Movement Zone 4946","31","Movement Zone 31","9/1/2019 - 9/1/2019, Every day, Daily Average",2086,1863,2334
"4946","Movement Zone 4946","33","Movement Zone 33","9/1/2019 - 9/1/2019, Every day, Daily Average",1727,1451,2054
"4946","Movement Zone 4946","39","Movement Zone 39","9/1/2019 - 9/1/2019, Every day, Daily Average",2956,2552,3422
"4946","Movement Zone 4946","40","Movement Zone 40","9/1/2019 - 9/1/2019, Every day, Daily Average",3569,2931,4344
"4946","Movement Zone 4946","42","Movement Zone 42","9/1/2019 - 9/1/2019, Every day, Daily Average",3282,2632,4092
"4946","Movement Zone 4946","50","Movement Zone 50","9/1/2019 - 9/1/2019, Every day, Daily Average",2631,2349,2946
"4946","Movement Zone 4946","54","Movement Zone 54","9/1/2019 - 9/1/2019, Every day, Daily Average",2414,1950,2987
"4946","Movement Zone 4946","57","Movement Zone 57","9/1/2019 - 9/1/2019, Every day, Daily Average",3343,2442,4575
"4946","Movement Zone 4946","59","Movement Zone 59","9/1/2019 - 9/1/2019, Every day, Daily Average",3002,2137,4215
"4946","Movement Zone 4946","65","Movement Zone 65","9/1/2019 - 9/1/2019, Every day, Daily Average",1560,1311,1855
"4946","Movement Zone 4946","68","Movement Zone 68","9/1/2019 - 9/1/2019, Every day, Daily Average",1467,1275,1686
"4946","Movement Zone 4946","69","Movement Zone 69","9/1/2019 - 9/1/2019, Every day, Daily Average",2617,2203,3107
"4946","Movement Zone 4946","70","Movement Zone 70","9/1/2019 - 9/1/2019, Every day, Daily Average",3049,2561,3629
