"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","12","Movement Zone 12","9/2/2019 - 9/2/2019, Every day, AM Peak",3859,2123,7014
"4946","Movement Zone 4946","13","Movement Zone 13","9/2/2019 - 9/2/2019, Every day, AM Peak",3840,2081,7084
"4946","Movement Zone 4946","17","Movement Zone 17","9/2/2019 - 9/2/2019, Every day, AM Peak",2146,1081,4259
"4946","Movement Zone 4946","24","Movement Zone 24","9/2/2019 - 9/2/2019, Every day, AM Peak",1639,808,3322
"4946","Movement Zone 4946","57","Movement Zone 57","9/2/2019 - 9/2/2019, Every day, AM Peak",2450,2222,2700
"4946","Movement Zone 4946","59","Movement Zone 59","9/2/2019 - 9/2/2019, Every day, AM Peak",2321,2092,2574
"4946","Movement Zone 4946","68","Movement Zone 68","9/2/2019 - 9/2/2019, Every day, AM Peak",1508,1258,1806
"4946","Movement Zone 4946","83","Movement Zone 83","9/2/2019 - 9/2/2019, Every day, AM Peak",1660,1378,1998
"4946","Movement Zone 4946","96","Movement Zone 96","9/2/2019 - 9/2/2019, Every day, AM Peak",1574,1307,1895
"4946","Movement Zone 4946","97","Movement Zone 97","9/2/2019 - 9/2/2019, Every day, AM Peak",1360,1189,1554
"4946","Movement Zone 4946","99","Movement Zone 99","9/2/2019 - 9/2/2019, Every day, AM Peak",1773,1281,2452
"4946","Movement Zone 4946","108","Movement Zone 108","9/2/2019 - 9/2/2019, Every day, AM Peak",1780,1466,2159
"4946","Movement Zone 4946","132","Movement Zone 132","9/2/2019 - 9/2/2019, Every day, AM Peak",2087,1513,2878
"4946","Movement Zone 4946","203","Movement Zone 203","9/2/2019 - 9/2/2019, Every day, AM Peak",3272,3101,3451
"4946","Movement Zone 4946","210","Movement Zone 210","9/2/2019 - 9/2/2019, Every day, AM Peak",3898,3696,4110
"4946","Movement Zone 4946","236","Movement Zone 236","9/2/2019 - 9/2/2019, Every day, AM Peak",3585,3437,3739
"4946","Movement Zone 4946","238","Movement Zone 238","9/2/2019 - 9/2/2019, Every day, AM Peak",3530,3376,3690
"4946","Movement Zone 4946","258","Movement Zone 258","9/2/2019 - 9/2/2019, Every day, AM Peak",3448,3286,3617
"4946","Movement Zone 4946","286","Movement Zone 286","9/2/2019 - 9/2/2019, Every day, AM Peak",3592,3460,3728
"4946","Movement Zone 4946","287","Movement Zone 287","9/2/2019 - 9/2/2019, Every day, AM Peak",3748,3574,3930
"4946","Movement Zone 4946","288","Movement Zone 288","9/2/2019 - 9/2/2019, Every day, AM Peak",3383,3222,3551
"4946","Movement Zone 4946","322","Movement Zone 322","9/2/2019 - 9/2/2019, Every day, AM Peak",3354,3179,3537
"4946","Movement Zone 4946","324","Movement Zone 324","9/2/2019 - 9/2/2019, Every day, AM Peak",3373,3197,3558
"4946","Movement Zone 4946","730","Movement Zone 730","9/2/2019 - 9/2/2019, Every day, AM Peak",1854,1679,2046
"4946","Movement Zone 4946","731","Movement Zone 731","9/2/2019 - 9/2/2019, Every day, AM Peak",1897,1731,2078
"4946","Movement Zone 4946","743","Movement Zone 743","9/2/2019 - 9/2/2019, Every day, AM Peak",1364,1130,1645
"4946","Movement Zone 4946","753","Movement Zone 753","9/2/2019 - 9/2/2019, Every day, AM Peak",1175,922,1496
"4946","Movement Zone 4946","754","Movement Zone 754","9/2/2019 - 9/2/2019, Every day, AM Peak",943,787,1129
"4946","Movement Zone 4946","759","Movement Zone 759","9/2/2019 - 9/2/2019, Every day, AM Peak",1885,1712,2075
"4946","Movement Zone 4946","762","Movement Zone 762","9/2/2019 - 9/2/2019, Every day, AM Peak",1401,1261,1555
"4946","Movement Zone 4946","765","Movement Zone 765","9/2/2019 - 9/2/2019, Every day, AM Peak",1193,932,1525
"4946","Movement Zone 4946","766","Movement Zone 766","9/2/2019 - 9/2/2019, Every day, AM Peak",1166,903,1505
"4946","Movement Zone 4946","767","Movement Zone 767","9/2/2019 - 9/2/2019, Every day, AM Peak",1258,1044,1514
"4946","Movement Zone 4946","768","Movement Zone 768","9/2/2019 - 9/2/2019, Every day, AM Peak",667,502,885
"4946","Movement Zone 4946","800","Movement Zone 800","9/2/2019 - 9/2/2019, Every day, AM Peak",1309,1100,1556
"4946","Movement Zone 4946","801","Movement Zone 801","9/2/2019 - 9/2/2019, Every day, AM Peak",696,529,914
"4946","Movement Zone 4946","813","Movement Zone 813","9/2/2019 - 9/2/2019, Every day, AM Peak",1932,1501,2486
"4946","Movement Zone 4946","831","Movement Zone 831","9/2/2019 - 9/2/2019, Every day, AM Peak",767,581,1010
"4946","Movement Zone 4946","832","Movement Zone 832","9/2/2019 - 9/2/2019, Every day, AM Peak",725,565,928
"4946","Movement Zone 4946","833","Movement Zone 833","9/2/2019 - 9/2/2019, Every day, AM Peak",716,556,922
"4946","Movement Zone 4946","840","Movement Zone 840","9/2/2019 - 9/2/2019, Every day, AM Peak",1219,952,1559
"4946","Movement Zone 4946","841","Movement Zone 841","9/2/2019 - 9/2/2019, Every day, AM Peak",1183,951,1470
"4946","Movement Zone 4946","867","Movement Zone 867","9/2/2019 - 9/2/2019, Every day, AM Peak",827,712,960
"4946","Movement Zone 4946","870","Movement Zone 870","9/2/2019 - 9/2/2019, Every day, AM Peak",834,677,1027
"4946","Movement Zone 4946","875","Movement Zone 875","9/2/2019 - 9/2/2019, Every day, AM Peak",797,647,980
"4946","Movement Zone 4946","879","Movement Zone 879","9/2/2019 - 9/2/2019, Every day, AM Peak",773,633,943
"4946","Movement Zone 4946","890","Movement Zone 890","9/2/2019 - 9/2/2019, Every day, AM Peak",1287,1177,1407
"4946","Movement Zone 4946","893","Movement Zone 893","9/2/2019 - 9/2/2019, Every day, AM Peak",1072,988,1162
"4946","Movement Zone 4946","908","Movement Zone 908","9/2/2019 - 9/2/2019, Every day, AM Peak",1309,1059,1617
"4946","Movement Zone 4946","935","Movement Zone 935","9/2/2019 - 9/2/2019, Every day, AM Peak",1764,1444,2153
"4946","Movement Zone 4946","961","Movement Zone 961","9/2/2019 - 9/2/2019, Every day, AM Peak",805,601,1078
"4946","Movement Zone 4946","962","Movement Zone 962","9/2/2019 - 9/2/2019, Every day, AM Peak",780,636,956
"4946","Movement Zone 4946","967","Movement Zone 967","9/2/2019 - 9/2/2019, Every day, AM Peak",931,779,1111
"4946","Movement Zone 4946","974","Movement Zone 974","9/2/2019 - 9/2/2019, Every day, AM Peak",1220,974,1528
"4946","Movement Zone 4946","975","Movement Zone 975","9/2/2019 - 9/2/2019, Every day, AM Peak",1174,996,1383
"4946","Movement Zone 4946","977","Movement Zone 977","9/2/2019 - 9/2/2019, Every day, AM Peak",1125,969,1305
"4946","Movement Zone 4946","980","Movement Zone 980","9/2/2019 - 9/2/2019, Every day, AM Peak",1684,1501,1889
"4946","Movement Zone 4946","982","Movement Zone 982","9/2/2019 - 9/2/2019, Every day, AM Peak",871,740,1024
"4946","Movement Zone 4946","987","Movement Zone 987","9/2/2019 - 9/2/2019, Every day, AM Peak",1598,1405,1816
"4946","Movement Zone 4946","988","Movement Zone 988","9/2/2019 - 9/2/2019, Every day, AM Peak",907,808,1017
"4946","Movement Zone 4946","989","Movement Zone 989","9/2/2019 - 9/2/2019, Every day, AM Peak",1800,1543,2098
"4946","Movement Zone 4946","990","Movement Zone 990","9/2/2019 - 9/2/2019, Every day, AM Peak",1333,1105,1606
"4946","Movement Zone 4946","998","Movement Zone 998","9/2/2019 - 9/2/2019, Every day, AM Peak",1716,1496,1967
"4946","Movement Zone 4946","1001","Movement Zone 1001","9/2/2019 - 9/2/2019, Every day, AM Peak",1254,1017,1545
"4946","Movement Zone 4946","1002","Movement Zone 1002","9/2/2019 - 9/2/2019, Every day, AM Peak",1061,868,1295
"4946","Movement Zone 4946","1003","Movement Zone 1003","9/2/2019 - 9/2/2019, Every day, AM Peak",709,501,1002
"4946","Movement Zone 4946","1004","Movement Zone 1004","9/2/2019 - 9/2/2019, Every day, AM Peak",916,766,1095
"4946","Movement Zone 4946","1019","Movement Zone 1019","9/2/2019 - 9/2/2019, Every day, AM Peak",1288,1044,1588
"4946","Movement Zone 4946","1020","Movement Zone 1020","9/2/2019 - 9/2/2019, Every day, AM Peak",1446,1331,1570
"4946","Movement Zone 4946","1040","Movement Zone 1040","9/2/2019 - 9/2/2019, Every day, AM Peak",1243,993,1555
"4946","Movement Zone 4946","1049","Movement Zone 1049","9/2/2019 - 9/2/2019, Every day, AM Peak",835,547,1273
"4946","Movement Zone 4946","1050","Movement Zone 1050","9/2/2019 - 9/2/2019, Every day, AM Peak",815,550,1206
"4946","Movement Zone 4946","1054","Movement Zone 1054","9/2/2019 - 9/2/2019, Every day, AM Peak",931,833,1039
"4946","Movement Zone 4946","1055","Movement Zone 1055","9/2/2019 - 9/2/2019, Every day, AM Peak",1761,1499,2068
"4946","Movement Zone 4946","1056","Movement Zone 1056","9/2/2019 - 9/2/2019, Every day, AM Peak",1555,1377,1755
"4946","Movement Zone 4946","1064","Movement Zone 1064","9/2/2019 - 9/2/2019, Every day, AM Peak",1590,1406,1797
"4946","Movement Zone 4946","1069","Movement Zone 1069","9/2/2019 - 9/2/2019, Every day, AM Peak",761,532,1088
"4946","Movement Zone 4946","1077","Movement Zone 1077","9/2/2019 - 9/2/2019, Every day, AM Peak",1427,1254,1623
"4946","Movement Zone 4946","1078","Movement Zone 1078","9/2/2019 - 9/2/2019, Every day, AM Peak",1327,1128,1561
"4946","Movement Zone 4946","1079","Movement Zone 1079","9/2/2019 - 9/2/2019, Every day, AM Peak",1276,1032,1577
"4946","Movement Zone 4946","1090","Movement Zone 1090","9/2/2019 - 9/2/2019, Every day, AM Peak",1380,1160,1641
"4946","Movement Zone 4946","1093","Movement Zone 1093","9/2/2019 - 9/2/2019, Every day, AM Peak",1769,1586,1972
"4946","Movement Zone 4946","1097","Movement Zone 1097","9/2/2019 - 9/2/2019, Every day, AM Peak",1601,1410,1817
"4946","Movement Zone 4946","1101","Movement Zone 1101","9/2/2019 - 9/2/2019, Every day, AM Peak",1156,938,1423
"4946","Movement Zone 4946","1107","Movement Zone 1107","9/2/2019 - 9/2/2019, Every day, AM Peak",1783,1609,1975
"4946","Movement Zone 4946","1108","Movement Zone 1108","9/2/2019 - 9/2/2019, Every day, AM Peak",1323,1080,1620
"4946","Movement Zone 4946","1117","Movement Zone 1117","9/2/2019 - 9/2/2019, Every day, AM Peak",1818,1640,2014
"4946","Movement Zone 4946","1118","Movement Zone 1118","9/2/2019 - 9/2/2019, Every day, AM Peak",835,749,930
"4946","Movement Zone 4946","1119","Movement Zone 1119","9/2/2019 - 9/2/2019, Every day, AM Peak",863,721,1031
"4946","Movement Zone 4946","1124","Movement Zone 1124","9/2/2019 - 9/2/2019, Every day, AM Peak",4885,3731,6394
"4946","Movement Zone 4946","1126","Movement Zone 1126","9/2/2019 - 9/2/2019, Every day, AM Peak",4166,3492,4969
"4946","Movement Zone 4946","1161","Movement Zone 1161","9/2/2019 - 9/2/2019, Every day, AM Peak",4063,3319,4973
"4946","Movement Zone 4946","1162","Movement Zone 1162","9/2/2019 - 9/2/2019, Every day, AM Peak",4012,3266,4927
