"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"09/17/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",729,493,1077,595,432,820,863,655,1138,653,525,810,785,565,1091,689,389,1220
"09/18/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",956,595,1535,533,394,719,1158,905,1483,890,630,1255,1045,691,1578,910,459,1803
"09/19/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",834,534,1302,827,464,1472,1236,960,1590,800,603,1062,891,575,1382,514,395,669
"09/20/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",807,501,1301,643,426,970,1155,851,1568,852,611,1186,891,626,1267,479,341,672
"09/21/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",723,480,1087,476,395,574,1022,709,1473,894,620,1288,687,525,900,487,383,619
"09/22/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",552,372,819,457,360,581,617,437,871,616,461,824,606,284,1294,508,371,696
"09/23/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",774,510,1173,499,401,621,1101,830,1460,776,545,1107,824,599,1133,466,346,629
"09/24/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",780,503,1209,712,418,1214,988,704,1386,708,527,951,933,626,1391,517,350,764
"09/25/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",889,524,1507,484,406,577,1470,1002,2156,881,605,1283,852,568,1278,456,354,587
"09/26/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",789,521,1194,999,499,1997,948,724,1241,768,545,1082,821,620,1086,458,334,627
"09/27/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",865,558,1341,545,430,691,1170,863,1586,921,616,1376,918,673,1250,544,387,766
"09/28/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",760,482,1199,506,431,594,1133,802,1601,927,617,1391,685,516,909,584,386,884
"09/29/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",586,420,817,469,372,590,679,499,923,702,486,1015,666,494,897,506,385,666
"09/30/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",732,485,1107,690,451,1054,908,659,1251,715,533,959,830,550,1251,520,349,777
"09/01/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",607,426,863,519,416,647,872,554,1371,619,452,849,682,486,958,538,396,731
"09/02/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",789,523,1191,497,418,590,1067,827,1377,785,571,1081,806,539,1205,640,400,1024
"09/03/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",764,496,1176,608,435,852,988,722,1352,705,497,1001,863,525,1420,530,361,779
"09/04/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",914,575,1451,573,411,797,1249,1020,1529,987,620,1573,894,647,1235,577,393,848
"09/05/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",856,543,1352,516,416,640,1206,997,1460,949,625,1441,804,596,1084,484,352,666
"09/06/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",858,543,1355,523,423,648,1173,878,1568,908,588,1403,849,594,1212,479,355,645
"09/07/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",728,474,1119,499,408,611,1005,700,1443,948,633,1420,685,518,905,496,375,656
"09/08/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",603,412,882,509,390,665,734,524,1027,675,454,1003,673,459,987,535,376,760
"09/09/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",770,509,1165,473,414,540,1005,843,1198,872,598,1271,718,497,1037,507,366,702
"09/10/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",794,532,1183,527,425,652,990,783,1252,754,547,1039,868,608,1239,527,358,775
"09/11/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",807,513,1271,658,414,1047,1119,823,1521,744,520,1066,837,552,1268,509,351,739
"09/12/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",874,562,1359,526,432,640,1100,806,1501,866,635,1180,974,611,1554,502,350,719
"09/13/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",899,558,1449,514,427,617,1206,913,1594,933,634,1372,934,635,1373,526,352,786
"09/14/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",704,459,1078,506,424,603,842,579,1223,872,631,1204,685,476,986,577,375,886
"09/15/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",551,407,744,475,376,602,526,400,690,509,398,652,641,435,947,547,413,725
"09/16/2019","4744","Movement Zone 4744","4949","Movement Zone 4949",562,390,810,484,357,654,646,435,960,630,405,979,675,503,905,501,364,689
